label;geo_local_area;geom;geo_point_2d
SOUTH;Kensington-Cedar Cottage;"{""coordinates"": [-123.06845173697268, 49.234935576956296], ""type"": ""Point""}";49.234935576956296, -123.06845173697268
HALF;Kensington-Cedar Cottage;"{""coordinates"": [-123.06364197186693, 49.2377611882782], ""type"": ""Point""}";49.2377611882782, -123.06364197186693
HALF;Renfrew-Collingwood;"{""coordinates"": [-123.05217985323264, 49.23449553355052], ""type"": ""Point""}";49.23449553355052, -123.05217985323264
1;Sunset;"{""coordinates"": [-123.10509671122288, 49.219500704240055], ""type"": ""Point""}";49.219500704240055, -123.10509671122288
N1/2;Hastings-Sunrise;"{""coordinates"": [-123.05059570342165, 49.278732124789904], ""type"": ""Point""}";49.278732124789904, -123.05059570342165
E PTN;Kerrisdale;"{""coordinates"": [-123.15691879900145, 49.23126132708151], ""type"": ""Point""}";49.23126132708151, -123.15691879900145
2;Grandview-Woodland;"{""coordinates"": [-123.06277109770514, 49.271571830588], ""type"": ""Point""}";49.271571830588, -123.06277109770514
2;Renfrew-Collingwood;"{""coordinates"": [-123.0525265419005, 49.24429433448414], ""type"": ""Point""}";49.24429433448414, -123.0525265419005
OF NORTH HALF;Kensington-Cedar Cottage;"{""coordinates"": [-123.06724555217968, 49.23491835783627], ""type"": ""Point""}";49.23491835783627, -123.06724555217968
1;Renfrew-Collingwood;"{""coordinates"": [-123.05074973793488, 49.243689191650056], ""type"": ""Point""}";49.243689191650056, -123.05074973793488
4;West Point Grey;"{""coordinates"": [-123.21106593114285, 49.271971572771484], ""type"": ""Point""}";49.271971572771484, -123.21106593114285
3;West Point Grey;"{""coordinates"": [-123.22372561710019, 49.27274752614207], ""type"": ""Point""}";49.27274752614207, -123.22372561710019
150;West Point Grey;"{""coordinates"": [-123.2107235395051, 49.264874989858896], ""type"": ""Point""}";49.264874989858896, -123.2107235395051
4;West Point Grey;"{""coordinates"": [-123.21113600633278, 49.269547660712064], ""type"": ""Point""}";49.269547660712064, -123.21113600633278
2;West Point Grey;"{""coordinates"": [-123.21283077305661, 49.26855732772489], ""type"": ""Point""}";49.26855732772489, -123.21283077305661
135;West Point Grey;"{""coordinates"": [-123.21318698981796, 49.27266054300237], ""type"": ""Point""}";49.27266054300237, -123.21318698981796
2;West Point Grey;"{""coordinates"": [-123.20667362796456, 49.270635629746096], ""type"": ""Point""}";49.270635629746096, -123.20667362796456
139;West Point Grey;"{""coordinates"": [-123.20449126661173, 49.27029096663933], ""type"": ""Point""}";49.27029096663933, -123.20449126661173
2;West Point Grey;"{""coordinates"": [-123.2097933061898, 49.26848325725583], ""type"": ""Point""}";49.26848325725583, -123.2097933061898
