ID,Name,Status,Category,Status Detail,Latitude,Longitude,Link
RZ457,691 W 28th Ave,Approved,approved_strata,"Approved Feb 16, 2023",49.2464465933414,-123.12024570309,https://www.shapeyourcity.ca/691-w-28-ave
RZ461,475 W 27th Ave,Rezoning,rezoning_strata,Application in Process,49.2472503,-123.1142608,https://www.shapeyourcity.ca/475-w-27-ave
RZ462,1245-1265 W 10th Ave,Approved,approved_market,"Approved January 23, 2025",49.2628241000002,-123.132469664418,https://www.shapeyourcity.ca/1245-1265-w-10-ave
RZ463,2950 Prince Edward,Approved,approved_market,"Approved March 13, 2025",49.25875,-123.09556,https://www.shapeyourcity.ca/2950-prince-edward-st
RZ464,210-220 W 6th Ave and 2224 Alberta St,Approved,approved_office,"Approved February 27, 2025",49.2654279864598,-123.110046359094,https://www.shapeyourcity.ca/210-220-w-6-ave-and-2224-alberta-st
RZ465,1045 W 14th Ave,Approved,approved_market,"Approved March 13, 2025",49.2589987174044,-123.127765144579,https://www.shapeyourcity.ca/1045-w-14-ave
RZ466,1665-1685 W 11th Ave,Approved,approved_market,"Approved June 25, 2025",49.262012163221,-123.142608219104,https://www.shapeyourcity.ca/1665-1685-w-11-ave
RZ467,1780 E Broadway,Approved,approved_market,"Approved June 10, 2025",49.2619323,-123.0686886,https://www.shapeyourcity.ca/1780-e-broadway-rz
RZ468,43-95 E 3rd Ave,Approved,approved_office,"Approved February 27, 2025",49.2685152745079,-123.103308146535,https://www.shapeyourcity.ca/43-95-e-3-ave
RZ469,270 E 13th Ave,Approved,approved_market,"Approved February 25, 2025",49.2590775,-123.0988073,https://www.shapeyourcity.ca/270-e-13-ave
RZ469,950 W 41st Ave (Jewish Community Centre),Approved,approved_market,"Approved July 16, 2026",49.2337102159024,-123.12674245767,https://www.shapeyourcity.ca/950-w-41-ave-3
RZ470,"3552, 3612, 3650 E Kent Ave S, 3680 Marine Way and 8655 Boundary Rd",Rezoning,rezoning_non_market,Application in Process,49.2040464576466,-123.027938057254,https://www.shapeyourcity.ca/3552-3650-e-kent-ave-s-boundary-rd-marine-way
RZ470,1030-1056 Burnaby St,Approved,approved_market,"Approved June 2, 2026",49.2790109731373,-123.13145545767,https://www.shapeyourcity.ca/1030-1056-burnaby-st
RZ470,"3552, 3612, 3650 E Kent Ave S, 3680 Marine Way and 8655 Boundary Rd",Rezoning,rezoning_market,Application in Process,49.2040494576466,-123.027941057254,https://www.shapeyourcity.ca/3552-3650-e-kent-ave-s-boundary-rd-marine-way
RZ471,1827 West 5th Ave,Approved,approved_market,"Approved June 2, 2026",49.2677130343621,-123.146199169316,https://www.shapeyourcity.ca/1827-w-5-ave
RZ472,1676 W 11th Ave,Approved,approved_market,"Approved October 21, 2025",49.2615482,-123.1427306,https://www.shapeyourcity.ca/1676-w-11-ave
RZ474,626 W 32nd Ave,Approved,approved_strata,"Approved January 21, 2025",49.2419660404667,-123.119462357672,https://www.shapeyourcity.ca/626-w-32-ave
RZ475,1188 Cardero St,Approved,approved_market,"Approved June 2, 2026",49.2853055884223,-123.138108557672,https://www.shapeyourcity.ca/1188-cardero-st-1
RZ476,5889-5925 Dunbar St,Approved,approved_market,"Approved January 21, 2025",49.2330011317133,-123.185739928836,https://www.shapeyourcity.ca/5889-5925-dunbar-st
RZ477,461-479 E 16th Ave,Approved,approved_market,"Approved May 7, 2025 (Reconvened from April 17, 2025 and April 23, 2025)",49.2567418150744,-123.094845657672,https://www.shapeyourcity.ca/461-479-e-16-ave
RZ478,2267-2275 W 7th Ave,Approved,approved_market,"Approved June 25, 2025",49.265896,-123.156643,https://www.shapeyourcity.ca/2267-2275-w-7th-ave
RZ479,1171 W 12th Ave,Approved,approved_market,"Approved February 27, 2025",49.260885,-123.1307116,https://www.shapeyourcity.ca/1171-w-12-ave
RZ480,1540 W 10th Ave,Rezoning,rezoning_market,Application in Process,49.2624213,-123.1396066,https://www.shapeyourcity.ca/1540-w-10-ave
RZ481,2158-2170 W 1st Ave,Approved,approved_market,"Approved June 24, 2025",49.27052570734,-123.154342117014,https://www.shapeyourcity.ca/2158-2170-w-1-ave
RZ482,2225 W 8th Ave,Approved,approved_market,"Approved April 17, 2025",49.2650285,-123.1560421,https://www.shapeyourcity.ca/2225-w-8-ave
RZ483,1855 W 2nd Ave,Approved,approved_market,"Approved July 8, 2025",49.2700500015272,-123.146772373016,https://www.shapeyourcity.ca/1855-w-2-ave
RZ484,2226 W 8th Ave and 2415-2421 Yew St,Rezoning,rezoning_market,Application in Process,49.2645991,-123.1558644,https://www.shapeyourcity.ca/2226-w-8-ave-and-2415-2421-yew-st
RZ485,455-565 Great Northern Way & 1850 Thornton St,Approved,approved_market,"Approved June 2, 2026",49.267186,-123.094517,https://www.shapeyourcity.ca/455-565-great-northern-way-and-1850-thornton-st
RZ486,8366-8380 Beatrice St,Approved,approved_market,"Approved February 25, 2025",49.2088664598448,-123.067516237407,https://www.shapeyourcity.ca/8366-8380-beatrice-st
RZ487,1110-1160 W King Edward Ave,Approved,approved_non_market,"Approved June 19, 2025",49.248946636701,-123.130657635259,https://www.shapeyourcity.ca/1110-1160-w-king-edward-ave
RZ488,1770 W 12th Ave,Approved,approved_market,"Approved May 20, 2025",49.2606296055371,-123.1451891,https://www.shapeyourcity.ca/1770-w-12-ave
RZ489,45 E 16th Ave,Approved,approved_market,"Approved September 18, 2025",49.2569075083091,-123.10408845767,https://www.shapeyourcity.ca/45-e-16-ave
RZ490,2111 Main St,Approved,approved_market,"Approved March 13, 2025",49.2658907027476,-123.101474844177,https://www.shapeyourcity.ca/2111-main-st
RZ492,396 E 2nd Ave,Approved,approved_market,"Approved March 13, 2025",49.2661712,-123.0961275,https://www.shapeyourcity.ca/396-e-2-ave
RZ494,310 E 14th Ave,Approved,approved_market,"Approved April 14, 2026",49.2581249978009,-123.097998915344,https://www.shapeyourcity.ca/310-e-14-ave
RZ495,2180 W 6th Ave,Approved,approved_market,"Approved May 20, 2025",49.2662047005267,-123.154567871163,https://www.shapeyourcity.ca/2180-w-6-ave
RZ496,325 E 6th Ave,Approved,approved_strata,"Approved June 19, 2025",49.2656919005631,-123.0977727,https://www.shapeyourcity.ca/325-e-6-ave
RZ497,469-483 E 10th Ave,Approved,approved_market,"Approved June 17, 2025",49.261801491151,-123.093876082186,https://www.shapeyourcity.ca/469-483-e-10-ave
RZ498,320 E 2nd Ave,Approved,approved_strata,"Approved May 5, 2026",49.2673184968729,-123.097969814819,https://www.shapeyourcity.ca/320-e-2-ave
RZ499,1364 W 11th Ave,Approved,approved_market,"Approved May 20, 2025",49.2613846886551,-123.13533409242,https://www.shapeyourcity.ca/1364-w-11-ave
RZ500,1270-1290 W 11th Ave,Approved,approved_market,"Approved June 19, 2025",49.2613769250638,-123.133349272836,https://www.shapeyourcity.ca/1270-1290-w-11-ave
RZ501,254 E 12th Ave,Approved,approved_market,"Approved July 8, 2025",49.2599352511296,-123.099177586377,https://www.shapeyourcity.ca/254-e-12-ave
RZ502,1150 Barclay St,Rezoning,rezoning_market,Application in Process,49.2838522,-123.1286108,https://www.shapeyourcity.ca/1150-barclay-st
RZ503,1470-1476 W Broadway,Approved,approved_market,"Approved February 19, 2026",49.2633308836199,-123.13757052831,https://www.shapeyourcity.ca/1470-1476-w-broadway
RZ504,193-195 E 63rd Ave and 7869 Main St,Rezoning,rezoning_market,Application in Process,49.2135173320854,-123.102539554166,https://www.shapeyourcity.ca/193-195-e-63-ave
RZ505,124-148 E 6th Ave,Rezoning,rezoning_office,Application in Process,49.2656252521,-123.102245599999,https://www.shapeyourcity.ca/124-148-e-6-ave-2
RZ507,767-791 W 28th Ave,Approved,approved_strata,"Approved February 25, 2025",49.2465316,-123.1221562,https://www.shapeyourcity.ca/767-791-w-28-ave
RZ508,859-883 E 33rd Ave & 4895 St. Catherines St,Approved,approved_market,"Approved July 10, 2025",49.2405782542984,-123.086617905923,https://www.shapeyourcity.ca/859-883-e-33-ave-and-4895-st-catherines-st
RZ509,4910-4950 Willow St,Approved,approved_non_market,"Approved March 11, 2025",49.2408909588207,-123.123304028485,
RZ510,4001-4009 Knight St and 1348 E 24th Ave,Approved,approved_strata,"Approved July 10, 2025",49.2488032652517,-123.076806090319,https://www.shapeyourcity.ca/4001-4009-knight-st-and-1348-e-24-ave
RZ511,426-428 W 14th Ave and 3015-3027 Yukon St,Approved,approved_market,"Approved January 22, 2026",49.2584579277053,-123.113573800284,https://www.shapeyourcity.ca/426-428-w-14-ave-and-3015-3027-yukon-st
RZ512,1375-1395 W 14th Ave,Rezoning,rezoning_market,Application in Process,49.2591604054215,-123.135819004805,https://www.shapeyourcity.ca/1375-1395-w-14-ave
RZ514,1030-1070 E Hastings St,Rezoning,rezoning_market,Referred back to staff,49.2807027677158,-123.081693096723,https://www.shapeyourcity.ca/1030-1070-e-hastings-st
RZ515,1115-1127 E Hastings St,Rezoning,rezoning_market,Referred back to staff,49.2812154279475,-123.080922573288,https://www.shapeyourcity.ca/1115-1127-e-hastings-st
RZ516,1168-1180 E Hastings St,Rezoning,rezoning_market,Referred back to staff,49.2807526570986,-123.079691999596,https://www.shapeyourcity.ca/1168-1180-e-hastings-st
RZ519,1155 E 6th Ave,Rezoning,rezoning_office,Application in Process,49.265705924341,-123.080375708414,https://www.shapeyourcity.ca/1155-e-6-ave
RZ520,1527 Main St,Approved,approved_market,"Approved July 8, 2025",49.2718970324929,-123.100717311834,https://www.shapeyourcity.ca/1527-main-st
RZ521,282 W 49th Ave,Approved,approved_market,"Approved February 25, 2025",49.2255363577423,-123.112450746633,https://www.shapeyourcity.ca/282-w-49th-ave
RZ523,302-360 W 2nd Avenue,Approved,approved_market,"Approved January 27, 2026",49.2680573133829,-123.111313755389,https://www.shapeyourcity.ca/320-360-w-2-ave
RZ524,11-15 E 4th Ave,Approved,approved_office,"Approved October 21, 2025",49.2676524502292,-123.104344878693,https://www.shapeyourcity.ca/11-15-e-4-ave
RZ525,2268-2294 W 3rd Ave and 1902-1912 Vine St,Approved,approved_market,"Approved February 24, 2026",49.2688462466883,-123.156963001401,https://www.shapeyourcity.ca/2268-2294-w-3-ave-and-1902-1912-vine-st
RZ527,3295-3333 Commercial Dr,Approved,approved_market,"Approved March 5, 2026",49.2548905013293,-123.069483728836,https://www.shapeyourcity.ca/3295-3333-commercial-dr
RZ530,2120-2150 W 10th Ave,Approved,approved_strata,"Approved May 19, 2026",49.2626739965954,-123.153353610402,https://www.shapeyourcity.ca/2120-2150-w-10th-ave
RZ531,3320-3356 W 41st Ave and 5721 Blenheim St,Rezoning,rezoning_market,Application in Process,49.2346362025016,-123.179097286505,https://www.shapeyourcity.ca/3320-3356-w-41-ave-and-5721-blenheim
RZ532,1706-1738 Alberni St and 735 Bidwell St,Approved,approved_market,"Approved May 5, 2026",49.2912988429566,-123.133287697888,https://www.shapeyourcity.ca/1706-1738-alberni-st-and-735-bidwell-st
RZ533,2030-2038 Barclay St,Rezoning,rezoning_office,Referred back to staff,49.2921492337018,-123.141329454949,https://www.shapeyourcity.ca/2030-2038-barclay-st
RZ534,1059-1083 Nelson,Approved,approved_market,"Approved March 11, 2025",49.2823784591176,-123.127244640679,https://www.shapeyourcity.ca/1059-1083-nelson-st
RZ535,2929 Commercial Dr,Approved,approved_market,"Approved July 13, 2021",49.2584737611495,-123.070136850956,https://www.shapeyourcity.ca/2929-commercial-dr
RZ536,450 W Georgia St,Approved,approved_office,"Approved June 29, 2021",49.2808705184092,-123.116140155471,https://www.shapeyourcity.ca/450-w-georgia-st
RZ537,728-796 Main St and 205 Union St,Approved,approved_market,"Approved November 12, 2024",49.2781471420483,-123.099567804421,https://www.shapeyourcity.ca/205-union-st-and-728-796-main-st
RZ538,1088 W 12th Ave,Approved,approved_market,"Approved July 14, 2026",49.26034517,-123.1284266,https://www.shapeyourcity.ca/1088-w-12-ave
RZ539,1050 Expo Bvld,Approved,approved_market,"Approved July 13, 2023",49.2743379708803,-123.116221460458,https://www.shapeyourcity.ca/false-creek-north-non-market-housing
RZ540,450 Pacific St,Approved,approved_market,"Approved July 13, 2023",49.2731322535659,-123.12704862285,https://www.shapeyourcity.ca/false-creek-north-non-market-housing
RZ542,2260-2266 W 2nd Ave,Approved,approved_market,"Approved January 27, 2026",49.2698071084634,-123.156328025746,https://www.shapeyourcity.ca/2260-2266-w-2-ave
RZ543,414-420 W Pender St,Approved,approved_market,"Approved July 10, 2025",49.2828342278308,-123.112495722963,https://www.shapeyourcity.ca/414-420-w-pender-st
RZ544,4339-4387 Cambie St and 506 W 27th Ave,Approved,approved_strata,"Approved May 19, 2026",49.246717271582,-123.116235119352,https://www.shapeyourcity.ca/4339-4387-cambie-st-and-506-w-27-ave-2
RZ545,1110 W 10th Ave,Approved,approved_market,"Approved June 19, 2025",49.2622221934035,-123.12933853163,https://www.shapeyourcity.ca/1110-w-10-ave
RZ546,1401-1455 E 49th Ave & 6363 Lanark St,Approved,approved_market,"Approved November 13, 2025",49.2262508579487,-123.076557131543,https://www.shapeyourcity.ca/1401-1455-e-49th-ave
RZ548,441 E Pender St,Approved,approved_market,"Approved February 26, 2026",49.2804715931887,-123.094499890489,https://www.shapeyourcity.ca/441-e-pender-st
RZ549,2079-2085 W 5th Ave,Approved,approved_market,"Approved July 8, 2025",49.2674722941455,-123.152202408216,https://www.shapeyourcity.ca/2079-2085-w-5th-ave
RZ550,1550 W 11th Ave,Approved,approved_market,"Approved February 5, 2026",49.2615244878452,-123.139988422461,https://www.shapeyourcity.ca/1550-w-11-ave
RZ551,44 E 13th Ave,Rezoning,rezoning_market,Application in Process,49.2590873948455,-123.104082828835,https://www.shapeyourcity.ca/44-e-13-ave
RZ552,"1402-1460 Burrard St, 900 Pacific St and 1401-1451 Hornby St",Approved,approved_market,"Approved February 3, 2026",49.2762797113846,-123.132532033913,https://www.shapeyourcity.ca/1402-1460-burrard-st
RZ553,2090 W 1st Ave,Approved,approved_market,"Approved November 13, 2025",49.2704992713907,-123.152295202898,https://www.shapeyourcity.ca/2090-w-1-ave
RZ555,1055 Canada Pl,Approved,approved_office,"Approved April 14, 2026",49.2883891010476,-123.115552728835,https://www.shapeyourcity.ca/1055-canada-pl
RZ556,5238-5262 Granville St & 1495 W 37th Ave,Approved,approved_market,"Approved January 15, 2026",49.238431166397,-123.138959931542,https://www.shapeyourcity.ca/5238-5262-granville-st-and-1495-w-37th-ave
RZ557,1249-1263 W 41st Ave,Approved,approved_market,"Approved January 22, 2026",49.2344278278173,-123.13373615767,https://www.shapeyourcity.ca/1249-1263-w-41st-ave
RZ558,2244-2280 W 6th Ave,Approved,approved_market,"Approved May 19, 2026",49.2662296713938,-123.156007002706,https://www.shapeyourcity.ca/2244-2280-w-6-ave
RZ559,4967-5017 Main St,Approved,approved_market,"Approved February 5, 2026",49.239671111543,-123.101963986074,https://www.shapeyourcity.ca/4967-5017-main-st
RZ560,1220 Station St,Approved,approved_office,"Approved June 2, 2026",49.272970136633,-123.098017744255,https://www.shapeyourcity.ca/1220-station-st
RZ561,324 W 10th Ave,Approved,approved_market,"Approved February 12, 2026",49.2620361991777,-123.111612828835,https://www.shapeyourcity.ca/324-w-10th-ave
RZ562,6428-6438 Cambie St and 480-488 W 48th Ave,Approved,approved_market,"Approved January 13, 2026",49.2267525794508,-123.116001412064,https://www.shapeyourcity.ca/6428-6438-cambie-st-and-480-488-w-48-ave
RZ563,466-476 W 27th Ave,Approved,approved_market,"Approved July 14, 2026",49.2467677871328,-123.114140547981,https://www.shapeyourcity.ca/466-476-w-27-ave
RZ564,625-777 Pacific St,Approved,approved_market,"Approved Dec. 4, 2025",49.2748839996448,-123.128210000005,https://www.shapeyourcity.ca/675-pacific-st
RZ565,354-380 E 10th Ave,Approved,approved_market,"Approved May 5, 2026",49.2618592705549,-123.097022731849,https://www.shapeyourcity.ca/354-380-e-10-ave
RZ567,1065 W 12th Ave and 2772 Spruce St,Rezoning,rezoning_market,Application in Process,49.2609050491521,-123.128625257616,https://www.shapeyourcity.ca/1065-w-12-ave
RZ568,1305-1355 W 12th Ave,Approved,approved_market,"Approved April 14, 2026",49.2610522000685,-123.134444202854,https://www.shapeyourcity.ca/1305-1355-w-12th-ave
RZ569,375 E 1st Ave,Upcoming,upcoming_market,Council meeting July 14,49.2684520194283,-123.095533915341,https://www.shapeyourcity.ca/375-e-1st-ave
RZ570,453-461 E 10th Ave and 2536-2542 Guelph St,Approved,approved_market,"Approved February 17, 2026",49.2618090991616,-123.09450185767,https://www.shapeyourcity.ca/453-461-e10-ave-and-2536-2542-guelph-st
RZ571,2202-2212 E 10th Ave,Approved,approved_market,"Approved March 4, 2026",49.2627149953594,-123.15574645767,https://www.shapeyourcity.ca/2202-2212-w-10-ave
RZ572,1230 W 12th Ave,Approved,approved_market,"Approved June 2, 2026",49.2604336071348,-123.132277556871,https://www.shapeyourcity.ca/1230-w-12-ave
RZ573,5770-5790 Granville St,Approved,approved_market,"Approved Oct. 23, 2025",49.2335094242181,-123.139312569188,https://www.shapeyourcity.ca/5770-5790-granville-st
RZ574,8080 Yukon St,Approved,approved_market,"Approved February 5, 2026",49.2119790451574,-123.114068002461,https://www.shapeyourcity.ca/8080-yukon-st
RZ576,900-990 W 12th Ave,Approved,approved_office,"Approved January 15, 2026",49.2603051573982,-123.125562287362,https://www.shapeyourcity.ca/900-990-w-12-ave
RZ577,10 E 11th Ave,Approved,approved_market,"Approved February 5, 2026",49.2609576598721,-123.104649918878,https://www.shapeyourcity.ca/10-e-11-ave
RZ578,15-27 W Hastings St,Approved,approved_market,"Approved February 10, 2026",49.2819482017714,-123.105391728834,https://www.shapeyourcity.ca/15-27-w-hastings
RZ579,8-36 W Cordova St,Approved,approved_market,"Approved February 10, 2026",49.2824169344515,-123.105182744371,https://www.shapeyourcity.ca/8-36-cordova
