ID,Address,Building Name,Secondary Address,Area,Latitude,Longitude,Owner,Operator,Operator Group,Ownership Group,# Registered Rooms,Occupancy Status,Match Method
96,18 W Hastings St.,Burns Block,16 W Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2813807449944,-123.105158153001,,,,,,,unmatched
97,20 W Hastings St.,New Portland Hotel,30 W Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2813976308489,-123.105477911412,BCH,Lookout,Non-Profit,Government,87,Open,address
98,29 W Hastings St.,Cosmopolitan Hotel,31 W Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820010680917,-123.105594277256,Central City Foundation,Central Cty Foundation,Non-Profit,Non-Profit,42,Open,address
99,33 W Hastings St.,Chelsea Inn,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820196805095,-123.105696810891,Yahya Nickpour - 0927000 BC LTD,Private,Private,Private,28,Open,address
100,35 W Hastings St.,Palace Hotel,37 W Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820413355145,-123.105815790959,Soterra - Laurelwood Ventures Inc,Private,Private,Private,32,Open,building name
101,74 W Hastings St.,Grand Union Hotel,78 W Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2816437772555,-123.106849962074,Jackie Hammer,Private,Private,Private,40,Open,address
102,106 W Hastings St.,Argyle Hotel/argyl E House,"100, 102 & 104 W Hastings St.; 415, 419, 421, 423 & 435 Abbott St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2817678812653,-123.107533103642,,,,,,,unmatched
103,116 W Hastings St.,Golden Crown Hotel,118 & 120 W Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2818422352717,-123.10794142538,116 WEST HASTINGS HOLDINGS LTD,Private,Private,Private,30,Open,address
104,404 Hawks St.,Rice Block,800 & 802 E Hastings St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2808772534842,-123.086924702262,BCH,Atira Property Managem,Non-Profit,Government,38,Open,building name
105,420 Hawks St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2807097022635,-123.086931550415,Andrew Charney,Private,Private,Private,5,Open,building name
106,209 Heatley St.,Harbourfront Hostel,686 Powell St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.282748802465,-123.089704778113,,,,,,,unmatched
107,407 & 417 Heatley Ave. ; 684 E Hastings St.,Heatley Apartments,"688, 692, 694 & 696 E Hastings St.;  409 & 419 Heatley Ave.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2808450700827,-123.089847352723,,,,,,,unmatched
108,1119 Hornby St.,Murray Hotel,1117 Hornby St.,Downtown South,49.2793988794687,-123.127248140252,Kenstone Properties Ltd,Atira Property Managem,Non-Profit,Private,105,Open,building name
109,306 Jackson Ave.,B.c. Rooms/jacks On Rooms,322 Jackson Ave.; 500 & 508 E Cordova St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2819080694239,-123.09315889932,"Ging, Huie S (15 year lease to Chris Wall)",Private,Private,Private,55,Open,address
110,218 Keefer St.,Keefer Rooms,222 Keefer St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2792034068084,-123.098898010896,Chris Wall - 1166605 B.C. Ltd,Private,Private,Private,45,Open,address
111,240 Keefer St.,Lung Jen Benevolent,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2792005317519,-123.098578977083,LUNG JEN BENEVOLENT SOCIETY,Private,Private,Chinese Society,5,Open,address
112,542 Keefer St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2790919733144,-123.092498307851,TSUNG TSIN ASSOCIATION (HAKKA),Private,Private,Chinese Society,6,Open,address
113,558 Keefer St.,Keefer Lodge,560 Keefer St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2790852984117,-123.092185503487,Lookout Housing and Health Society,Lookout,Non-Profit,Non-Profit,15,Open,address
114,727 Keefer St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2795308934843,-123.088889348667,Keefer Apartments Ltd,Private,Private,Private,14,Open,address
115,812 Keefer St.,,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.278979080262,-123.086854250469,"Liu, Ly; Low, Lai F Chung Vllage Chung Shan Kwa",nPrivate,Pri vate,Private,12,Open,address
116,117 Main St.,Main Hotel/rooms,119 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2837530910744,-123.100001134024,Betty Wu (owner) Shun Shi Co Ltd.,Private,Private,Private,28,Open,address
117,205 Main St.,No. 5 Orange,203 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2830291890182,-123.100033230814,Sentinel Peak Holdings Ltd,Private,Private,Private,20,Open,building name
118,235 Main St.,Jubilee Rooms,"233, 237 & 239 Main St.",Downtown Eastside / Chinatown / Gastown / Strathcona,49.2826432701404,-123.100049910652,BCH,Raincity,Non-Profit,Government,77,Open,address
119,172 E. Cordova St.,Jay Rooms,305 Main St.; E Cordova St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2821592300736,-123.100070926835,Mark Shieh - Happy Harvest Inc,Atira Women's Resourc,N on-Profit,Private,11,Open,address
120,307 Main St.,Vet's Rooms,309 & 311 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2820812547566,-123.10007439716,Mark Shieh - Happy Harvest Inc,Private,Private,Private,9,Open,address
121,507 Main St.,Pacific Rooms,509 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.280115054318,-123.10016066423,Shun Chi Co LTD,Private,Private,Private,31,Open,address
122,796 Main St.,Creekside Students Residences,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.277796107274,-123.099340508552,Bonnis Development Main Inc,Private,Private,Private,24,Open,address
123,917 Main St.,Cobalt Hotel,915 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2765179261019,-123.100433733298,Sahota - Northstar Internation Motor Hotel Ltd,Private,Private,Private,88,Open,building name
124,928 Main St.,Old American Hotel,930 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2762571526626,-123.099458831733,BCH,BCH,Government,Government,42,Open,address
125,956 Main St.,Thorton Park Hotel,958 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.275882744985,-123.099475423633,BCH,BCH,Government,Government,23,Open,address
126,1012 Main St.,Station Hotel,1014 Main St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2754720926525,-123.099493642836,BCH,BCH,Government,Government,31,Open,address
127,1038 Main St.,Ivanhoe Hotel,,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2751300623154,-123.099508712277,Golden Sound Holdings Ltd,Private,Private,Private,102,Open,address
128,100 E Pender St.,New Sun Ah Hotel,102 E Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2801734168147,-123.102117843841,LUNG KONG KUNG SHAW LTD,Private,Private,Chinese Society,45,Open,address
129,110 E Pender St.,Chinese Freemasons,112 & 116 E Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2801685217657,-123.101855939895,VAN HONG DART REALTY LTD,Private,Private,Chinese Society,3,Open,address
130,137 E Pender St.,Asia Hotel,139 E Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2806669245514,-123.100943389798,,,,,,,unmatched
131,228 E Pender St.,,230 E Pender St.,Downtown Eastside / Chinatown / Gastown / Strathcona,49.2801140231673,-123.098851647902,Steve Lippman - 228 E Pender Holdings Ltd,Private,Private,Private,23,Open,address
